index,qubits,sys_noisy,sys_ideal,ideal,noisy
72,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.11050000041723251, 0.11050000041723251, 0.24199999868869781, 0.4970000088214874]","[0.0, 0.0, 0.0, 0.0, 0.51953125, 0.3583984375, 0.2568359375, 0.5087890625]"
73,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.43050000071525574, 0.11174999922513962, 0.21799999475479126, 0.41075000166893005]","[0.0, 0.0, 0.0, 0.0, 0.4716796875, 0.6328125, 0.51953125, 0.396484375]"
74,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.47350001335144043, 0.12825000286102295, 0.12825000286102295, 0.49000000953674316]","[0.0, 0.0, 0.0, 0.0, 0.453125, 0.4794921875, 0.5224609375, 0.4931640625]"
75,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5382500290870667, 0.4662500023841858, 0.31575000286102295, 0.5372499823570251]","[0.0, 0.0, 0.0, 0.0, 0.505859375, 0.466796875, 0.5078125, 0.5087890625]"
76,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.597000002861023, 0.4424999952316284, 0.5087500214576721, 0.6347500085830688]","[0.0, 0.0, 0.0, 0.0, 0.4951171875, 0.369140625, 0.490234375, 0.4931640625]"
77,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.8302500247955322, 0.0689999982714653, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.486328125, 0.3583984375, 0.015625, 0.01171875]"
78,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.4777500033378601, 0.4962500035762787, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.95703125, 0.466796875, 0.4951171875, 0.0078125]"
79,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.3192499876022339, 0.44874998927116394, 0.6445000171661377, 0.36649999022483826]","[0.0, 0.0, 0.0, 0.0, 0.51953125, 0.4228515625, 0.501953125, 0.4814453125]"
80,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4567500054836273, 0.6035000085830688, 0.7005000114440918, 0.3634999990463257]","[0.0, 0.0, 0.0, 0.0, 0.498046875, 0.3583984375, 0.5, 0.505859375]"
81,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5697500109672546, 0.4129999876022339, 0.5149999856948853, 0.44200000166893005]","[0.0, 0.0, 0.0, 0.0, 0.494140625, 0.3427734375, 0.4833984375, 0.5107421875]"
82,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5830000042915344, 0.8367499709129333, 0.5542500019073486, 0.4937500059604645]","[0.0, 0.0, 0.0, 0.0, 0.486328125, 0.4951171875, 0.4833984375, 0.5068359375]"
83,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.398499995470047, 0.3317500054836273, 0.38600000739097595, 0.4724999964237213]","[0.0, 0.0, 0.0, 0.0, 0.509765625, 0.4931640625, 0.5185546875, 0.59375]"
84,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.3765000104904175, 0.4802500009536743, 0.3215000033378601, 0.5677499771118164]","[0.0, 0.0, 0.0, 0.0, 0.49609375, 0.3271484375, 0.5029296875, 0.49609375]"
85,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.3529999852180481, 0.5037500262260437, 0.41449999809265137, 0.5077499747276306]","[0.0, 0.0, 0.0, 0.0, 0.5078125, 0.3193359375, 0.4970703125, 0.4970703125]"
86,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.3852500021457672, 0.512499988079071, 0.9832500219345093, 0.7509999871253967]","[0.0, 0.0, 0.0, 0.0, 0.4287109375, 0.48828125, 0.470703125, 0.5263671875]"
87,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4429999887943268, 0.6637499928474426, 0.6069999933242798, 0.7264999747276306]","[0.0, 0.0, 0.0, 0.0, 0.4990234375, 0.380859375, 0.5146484375, 0.4853515625]"
88,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5067499876022339, 0.42225000262260437, 0.2930000126361847, 0.4572499990463257]","[0.0, 0.0, 0.0, 0.0, 0.4892578125, 0.4931640625, 0.486328125, 0.515625]"
89,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9617499709129333, 0.05925000086426735]","[0.0, 0.0, 0.0, 0.0, 0.4990234375, 0.3583984375, 0.9619140625, 0.072265625]"
90,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7262499928474426, 0.5982499718666077, 0.3425000011920929, 0.7952499985694885]","[0.0, 0.0, 0.0, 0.0, 0.7236328125, 0.6572265625, 0.5224609375, 0.6337890625]"
91,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4937500059604645, 0.534500002861023, 0.43700000643730164, 0.6330000162124634]","[0.0, 0.0, 0.0, 0.0, 0.4873046875, 0.3466796875, 0.5078125, 0.498046875]"
92,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7417500019073486, 0.5634999871253967, 0.5254999995231628, 0.44999998807907104]","[0.0, 0.0, 0.0, 0.0, 0.470703125, 0.3583984375, 0.49609375, 0.5615234375]"
93,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4235000014305115, 0.7732499837875366, 0.30125001072883606, 0.29249998927116394]","[0.0, 0.0, 0.0, 0.0, 0.4951171875, 0.4716796875, 0.482421875, 0.4931640625]"
94,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4947499930858612, 0.41624999046325684, 0.5462499856948853, 0.4325000047683716]","[0.0, 0.0, 0.0, 0.0, 0.501953125, 0.50390625, 0.5048828125, 0.4443359375]"
95,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5444999933242798, 0.3687500059604645, 0.4970000088214874, 0.35899999737739563]","[0.0, 0.0, 0.0, 0.0, 0.498046875, 0.4921875, 0.51171875, 0.5244140625]"
96,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.2605000138282776, 0.5902500152587891, 0.6294999718666077, 0.2485000044107437]","[0.0, 0.0, 0.0, 0.0, 0.48046875, 0.3193359375, 0.494140625, 0.2666015625]"
97,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5292500257492065, 0.4712499976158142, 0.5440000295639038, 0.578000009059906]","[0.0, 0.0, 0.0, 0.0, 0.5166015625, 0.6435546875, 0.513671875, 0.53125]"
98,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5540000200271606, 0.45399999618530273, 0.6187499761581421, 0.546999990940094]","[0.0, 0.0, 0.0, 0.0, 0.484375, 0.4658203125, 0.6220703125, 0.4755859375]"
99,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5332499742507935, 0.637499988079071, 0.3187499940395355, 0.3557499945163727]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.31640625, 0.484375, 0.4609375]"
