qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,0.443,0.6637,0.607,0.7265]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3809,0.5146,0.4854]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5067,0.4223,0.293,0.4572]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.4932,0.4863,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9617,0.0593]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3584,0.9619,0.0723]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7262,0.5982,0.3425,0.7952]","[0.0001,0.0001,0.0001,0.0001,0.7236,0.6572,0.5225,0.6338]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4938,0.5345,0.437,0.633]","[0.0001,0.0001,0.0001,0.0001,0.4873,0.3467,0.5078,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7418,0.5635,0.5255,0.45]","[0.0001,0.0001,0.0001,0.0001,0.4707,0.3584,0.4961,0.5615]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4235,0.7732,0.3013,0.2925]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.4717,0.4824,0.4932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4947,0.4162,0.5462,0.4325]","[0.0001,0.0001,0.0001,0.0001,0.502,0.5039,0.5049,0.4443]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5445,0.3688,0.497,0.359]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.4922,0.5117,0.5244]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2605,0.5903,0.6295,0.2485]","[0.0001,0.0001,0.0001,0.0001,0.4805,0.3193,0.4941,0.2666]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5293,0.4712,0.544,0.578]","[0.0001,0.0001,0.0001,0.0001,0.5166,0.6436,0.5137,0.5312]"
4,"[0.0001,0.0001,0.0001,0.0001,0.554,0.454,0.6187,0.547]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.4658,0.6221,0.4756]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5332,0.6375,0.3187,0.3557]","[0.0001,0.0001,0.0001,0.0001,0.5,0.3164,0.4844,0.4609]"
4,"[0.0001,0.0001,0.0001,0.0001,0.624,0.2603,0.3417,0.3153]","[0.0001,0.0001,0.0001,0.0001,0.5322,0.4512,0.5059,0.5146]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6605,0.4283,0.3212,0.4825]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3467,0.5352,0.4912]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5723,0.5055,0.4408,0.5765]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.5127,0.5127,0.5293]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3395,0.5422,0.6195,0.4212]","[0.0001,0.0001,0.0001,0.0001,0.5205,0.4053,0.4971,0.5732]"
4,"[0.0001,0.0001,0.0001,0.0001,0.646,0.42,0.4153,0.5788]","[0.0001,0.0001,0.0001,0.0001,0.4922,0.3477,0.4971,0.5146]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6295,0.676,0.528,0.2553]","[0.0001,0.0001,0.0001,0.0001,0.5400,0.4463,0.5059,0.4814]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6053,0.4462,0.4013,0.6817]","[0.0001,0.0001,0.0001,0.0001,0.5176,0.5176,0.5273,0.4824]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8625,0.4938,0.0001,0.8]","[0.0001,0.0001,0.0001,0.0001,0.835,0.5,0.4922,0.7832]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5005,0.4327,0.6895,0.3557]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3701,0.5088,0.4805]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6683,0.3515,0.5493,0.377]","[0.0001,0.0001,0.0001,0.0001,0.5146,0.3555,0.5,0.5107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.517,0.7205,0.5495,0.3882]","[0.0001,0.0001,0.0001,0.0001,0.5146,0.3955,0.5176,0.4883]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5445,0.4527,0.3302,0.6933]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.4922,0.4863,0.5996]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2305,0.692,0.48,0.6687]","[0.0001,0.0001,0.0001,0.0001,0.5234,0.3682,0.4912,0.6758]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4125,0.6812,0.453,0.588]","[0.0001,0.0001,0.0001,0.0001,0.5195,0.3613,0.4873,0.4756]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7352,0.297,0.5552,0.3365]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.4199,0.5107,0.4932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4708,0.4283,0.5157,0.5355]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.4854,0.5029,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5148,0.9287,0.0035]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3184,0.9092,0.0146]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2995,0.5778,0.3805,0.566]","[0.0001,0.0001,0.0001,0.0001,0.5195,0.4990,0.4971,0.4580]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,1.,0.5875,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.5283,0.3555,0.5811,0.0068]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.6752,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.0352,0.5205,0.5078,0.0088]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3277,0.4568,0.3717,0.53]","[0.0001,0.0001,0.0001,0.0001,0.5156,0.3408,0.4922,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7487,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.6689,0.3477,0.4834,0.1553]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3122,0.5213,0.6977,0.328]","[0.0001,0.0001,0.0001,0.0001,0.5186,0.5078,0.5156,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8978,0.755,0.4087,0.3198]","[0.0001,0.0001,0.0001,0.0001,0.4883,0.4375,0.4961,0.3955]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4755,0.5213,0.5443,0.4428]","[0.0001,0.0001,0.0001,0.0001,0.5137,0.3789,0.5283,0.4873]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5107,0.5107,0.0082,0.0165]","[0.0001,0.0001,0.0001,0.0001,0.4717,0.3379,0.0127,0.0293]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3792,0.285,0.3553,0.4142]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3496,0.4854,0.4814]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.999,1.,0.999]","[0.0001,0.0001,0.0001,0.0001,0.0361,0.9863,0.9902,0.9883]"
4,"[0.0001,0.0001,0.0001,0.0001,0.504,0.7032,0.9945,0.5008]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3721,0.4961,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.333,0.3532,0.3842,0.303]","[0.0001,0.0001,0.0001,0.0001,0.4736,0.3467,0.5322,0.4043]"
4,"[0.0001,0.0001,0.0001,0.0001,0.78,0.137,0.4338,0.5315]","[0.0001,0.0001,0.0001,0.0001,0.5234,0.4609,0.4971,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5153,1.]","[0.0001,0.0001,0.0001,0.0001,0.0322,0.0127,0.5107,0.9932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4577,0.5173,0.4535,0.3455]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3408,0.4941,0.3633]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.183,0.499,0.722]","[0.0001,0.0001,0.0001,0.0001,0.4941,0.3584,0.4834,0.7275]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5745,0.5813,0.6385,0.414]","[0.0001,0.0001,0.0001,0.0001,0.5928,0.3193,0.4902,0.4199]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3088,0.2508,0.2107,0.4345]","[0.0001,0.0001,0.0001,0.0001,0.5186,0.501,0.5059,0.5967]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3528,0.5188,0.45,0.644]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.3232,0.4746,0.5293]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4387,0.3945,0.6835,0.579]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.4990,0.5068,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.9967,0.4915,0.1737,0.3525]","[0.0001,0.0001,0.0001,0.0001,0.5088,0.4893,0.5244,0.4805]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3212,0.2473,0.3315,0.4275]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.3564,0.4863,0.501]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3677,0.451,0.6308,0.2548]","[0.0001,0.0001,0.0001,0.0001,0.542,0.3232,0.6396,0.4844]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7075,0.5688,0.559,0.2765]","[0.0001,0.0001,0.0001,0.0001,0.4814,0.5557,0.5137,0.5049]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4835,0.4658,0.4938,0.718]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.6357,0.5,0.5654]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0335,0.0001,0.8263,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.3574,0.8818,0.3506]"
